District Code,State,White,Asian,Black,Hispanic,Other,18 to 29,30 to 49,50 to 69,70+,HS or less,Some college,Associate's,Bachelor's or greater,25k or less,25k to 50k,50k to 75k,75k to 100k,100k or greater
CA-21,CA,144585,84378,48172,482325,38231,118202,195329,143201,59135,236098,105931,39299,76824,51490,52226,40851,29665,58536
CA-22,CA,107893,45237,44414,563305,37384,127796,205823,135678,44779,285510,87626,28934,48192,46162,53405,40391,25849,47201
CA-23,CA,299755,42800,80938,324842,40713,101987,199506,172823,71102,229887,130381,43736,90562,42268,50331,41977,31294,78377
CA-24,CA,378230,56034,19323,294734,34519,129570,173414,175667,94276,153538,108291,45438,186631,34647,39957,37141,33491,123293
CA-25,CA,217879,35419,38178,464876,37255,100254,184775,172602,100971,245718,114298,39223,109519,49565,54832,39666,32918,80858
CA-26,CA,325269,83629,27666,317496,30844,97093,191498,188616,81999,169823,100246,47104,192882,23209,28897,30457,28852,129862
CA-27,CA,236158,84756,91928,346015,30920,99112,201911,176993,59253,199048,107989,43962,138030,30068,34902,32493,29365,104844
CA-28,CA,200882,309055,39703,210705,21080,88239,204683,199993,97458,169117,88843,43429,250302,33648,35025,34710,30703,131041
CA-29,CA,173399,71093,41594,477560,32069,119597,217321,168963,59196,255648,93627,35031,126613,41601,43685,36949,30609,81427
CA-30,CA,421462,115816,37865,178511,19529,110390,250958,180391,81422,152604,98296,43808,287696,56438,46726,43774,39855,140583
CA-31,CA,142414,156798,35896,429185,31588,110270,198222,186081,74507,216429,108272,42130,146368,25066,31940,32848,30202,101990
CA-32,CA,405502,117321,40523,189453,20354,103656,212180,193421,89617,133943,100671,42503,275275,31962,35721,34310,31582,153836
CA-33,CA,138544,70671,94798,459436,35860,121996,208001,150230,47487,228821,99790,36610,103673,29158,37131,36497,28771,86132
CA-34,CA,82569,142435,43195,497280,33712,132484,237991,163518,63665,279845,82658,28266,148884,61033,55411,43033,32853,73716
CA-35,CA,140468,117674,58639,446255,34436,121461,214887,164057,53337,221657,104254,40018,127452,25440,33011,35647,30629,96569
CA-36,CA,420849,161956,39243,126932,19144,99413,216424,182379,88602,79253,75676,32644,354112,36146,31739,33729,31405,183134
CA-37,CA,99490,60398,193744,409691,29862,132477,218807,158922,57413,247582,87622,29400,138681,54014,50009,37187,28478,82818
CA-38,CA,101616,196613,16889,450094,29341,104321,197545,186323,80434,247849,93390,36501,141199,28837,35478,33013,26803,93975
CA-39,CA,148509,57765,81601,473263,37363,130879,205498,151194,50002,243848,103045,35864,87206,23514,32390,33855,29641,82539
CA-40,CA,359388,103710,44617,243980,30295,92744,199941,191573,74985,154760,126035,48169,185195,19560,24570,29217,28526,139985
CA-41,CA,163158,95336,41025,461976,36051,106631,207538,179132,72528,212171,113829,44432,144366,25645,32760,34626,32404,107155
CA-42,CA,343883,111032,55354,240878,30005,113879,212835,188008,82894,151767,116542,41485,238560,36172,41043,39459,37134,146971
CA-43,CA,52450,75741,201912,433512,33350,113001,207192,164407,56231,254042,98966,32431,103011,40461,43666,38591,29975,76630
CA-44,CA,60389,81117,86054,535795,40278,116503,211116,166144,59704,280638,96605,30946,88876,33310,41927,37653,28674,72452
CA-45,CA,151712,316279,26743,263412,26075,104090,193593,188596,81697,201123,101464,41839,173077,27313,31294,30532,27903,107914
CA-46,CA,132689,119649,23761,486278,37271,126381,212643,161862,56667,251008,96826,31035,117512,27683,32482,32929,29645,89424
CA-47,CA,353573,238792,21860,137878,17906,100464,204520,184856,84907,84639,86272,39331,314385,31383,28309,29462,26630,167768
CA-48,CA,325779,74155,44321,304909,39167,94324,200925,177254,86950,185459,125871,46280,155950,35419,40125,39066,32189,109609
CA-49,CA,434796,121957,26638,164145,26192,96049,193946,181221,77421,96943,92102,36977,271038,22004,28710,27933,25001,154665
CA-50,CA,417088,154045,32977,140896,25537,126234,214024,171964,84497,106339,99901,42351,290961,30570,32262,35406,32354,159068
CA-51,CA,385587,88812,68684,205434,33310,123698,223800,173744,74644,150150,129206,50392,210466,34962,41476,43829,38994,129933
CA-52,CA,117198,122027,68467,459616,37390,118861,216473,167456,63941,229814,114356,44586,119854,33027,38375,36314,30697,89806
CO-01,CO,392965,39732,77809,200616,28561,128591,246649,136789,56779,130073,81690,28023,284354,44833,49569,49124,40754,141889
CO-02,CO,549122,36784,13401,102698,20148,126223,188377,171858,69186,87733,80579,35850,280152,36292,41005,40859,34852,137467
CO-03,CO,481577,11622,13113,185799,40172,86199,178510,193469,94082,184475,116653,47343,160885,52387,60361,53695,38880,87664
CO-04,CO,546832,36567,20558,98457,23077,81700,202623,181461,69580,120510,100856,44956,228698,24245,32678,33666,34293,145571
CO-05,CO,473462,39114,63028,129138,34167,118750,194023,157367,61906,117599,112593,52346,190644,30946,44574,47862,38712,111265
